Source,Source City,Source Country,Target,Target City,Target Country,Source Lat,Source Lon,Target Lat,Target Lon,Weight
SOV,Seldovia,USA,KEB,Nanwalek,USA,59.4424,-151.704,59.3521,-151.925,671
HOM,Homer,USA,SOV,Seldovia,USA,59.6456,-151.477,59.4424,-151.704,3005
SOV,Seldovia,USA,HOM,Homer,USA,59.4424,-151.704,59.6456,-151.477,2861
PGM,Port Graham,USA,HOM,Homer,USA,59.3483,-151.832,59.6456,-151.477,144
KEB,Nanwalek,USA,PGM,Port Graham,USA,59.3521,-151.925,59.3483,-151.832,144
AET,Allakaket,USA,AKP,Anaktuvuk Pass,USA,66.5518,-152.622,68.1336,-151.743,36
ANC,Anchorage,USA,GAL,Galena,USA,61.1744,-149.996,64.7362,-156.937,513
ANI,Aniak,USA,SHX,Shageluk,USA,61.5816,-159.543,62.6923,-159.569,429
BTI,Barter Island,USA,FAI,Fairbanks,USA,70.134,-143.582,64.8151,-147.856,513
BTI,Barter Island,USA,SCC,Prudhoe Bay/Deadhorse,USA,70.134,-143.582,70.1947,-148.465,918
FAI,Fairbanks,USA,BTI,Barter Island,USA,64.8151,-147.856,70.134,-143.582,513
ANI,Aniak,USA,RSH,Russian Mission,USA,61.5816,-159.543,61.7789,-161.319,243
ANC,Anchorage,USA,ANI,Aniak,USA,61.1744,-149.996,61.5816,-159.543,2527
ANI,Aniak,USA,ANC,Anchorage,USA,61.5816,-159.543,61.1744,-149.996,2014
ANI,Aniak,USA,HCR,Holy Cross,USA,61.5816,-159.543,62.1883,-159.775,1032
ANI,Aniak,USA,BET,Bethel,USA,61.5816,-159.543,60.7798,-161.838,513
GAL,Galena,USA,ANC,Anchorage,USA,64.7362,-156.937,61.1744,-149.996,513
SHX,Shageluk,USA,ANI,Aniak,USA,62.6923,-159.569,61.5816,-159.543,1032
AET,Allakaket,USA,FAI,Fairbanks,USA,66.5518,-152.622,64.8151,-147.856,408
AIN,Wainwright,USA,BRW,Barrow,USA,70.638,-159.995,71.2854,-156.766,684
ANI,Aniak,USA,KLG,Kalskag,USA,61.5816,-159.543,61.5363,-160.341,1425
FAI,Fairbanks,USA,FYU,Fort Yukon,USA,64.8151,-147.856,66.5715,-145.25,3506
FYU,Fort Yukon,USA,FAI,Fairbanks,USA,66.5715,-145.25,64.8151,-147.856,3638
ANC,Anchorage,USA,DLG,Dillingham,USA,61.1744,-149.996,59.0447,-158.505,8149
DLG,Dillingham,USA,ANC,Anchorage,USA,59.0447,-158.505,61.1744,-149.996,8149
GAL,Galena,USA,KYU,Koyukuk,USA,64.7362,-156.937,64.8761,-157.727,335
KYU,Koyukuk,USA,GAL,Galena,USA,64.8761,-157.727,64.7362,-156.937,675
NUI,Nuiqsut,USA,SCC,Prudhoe Bay/Deadhorse,USA,70.21,-151.006,70.1947,-148.465,918
RBY,Ruby,USA,TAL,Tanana,USA,64.7272,-155.47,65.1744,-152.109,399
SCC,Prudhoe Bay/Deadhorse,USA,NUI,Nuiqsut,USA,70.1947,-148.465,70.21,-151.006,918
TAL,Tanana,USA,RBY,Ruby,USA,65.1744,-152.109,64.7272,-155.47,767
