Source,Source City,Source Country,Target,Target City,Target Country,Weight
SOV,Seldovia,USA,KEB,Nanwalek,USA,144
HOM,Homer,USA,SOV,Seldovia,USA,184
SOV,Seldovia,USA,HOM,Homer,USA,40
PGM,Port Graham,USA,HOM,Homer,USA,144
KEB,Nanwalek,USA,PGM,Port Graham,USA,144
AET,Allakaket,USA,AKP,Anaktuvuk Pass,USA,36
ANC,Anchorage,USA,GAL,Galena,USA,513
ANI,Aniak,USA,SHX,Shageluk,USA,243
BTI,Barter Island,USA,FAI,Fairbanks,USA,513
BTI,Barter Island,USA,SCC,Prudhoe Bay/Deadhorse,USA,513
FAI,Fairbanks,USA,BTI,Barter Island,USA,513
ANI,Aniak,USA,RSH,Russian Mission,USA,243
ANC,Anchorage,USA,ANI,Aniak,USA,1102
ANI,Aniak,USA,ANC,Anchorage,USA,589
ANI,Aniak,USA,HCR,Holy Cross,USA,522
ANI,Aniak,USA,BET,Bethel,USA,513
GAL,Galena,USA,ANC,Anchorage,USA,513
SHX,Shageluk,USA,ANI,Aniak,USA,522
AET,Allakaket,USA,FAI,Fairbanks,USA,90
AIN,Wainwright,USA,BRW,Barrow,USA,243
ANI,Aniak,USA,KLG,Kalskag,USA,243
FAI,Fairbanks,USA,FYU,Fort Yukon,USA,950
FYU,Fort Yukon,USA,FAI,Fairbanks,USA,950
ANC,Anchorage,USA,DLG,Dillingham,USA,589
DLG,Dillingham,USA,ANC,Anchorage,USA,589
GAL,Galena,USA,KYU,Koyukuk,USA,243
KYU,Koyukuk,USA,GAL,Galena,USA,243
NUI,Nuiqsut,USA,SCC,Prudhoe Bay/Deadhorse,USA,513
RBY,Ruby,USA,TAL,Tanana,USA,243
SCC,Prudhoe Bay/Deadhorse,USA,NUI,Nuiqsut,USA,513
TAL,Tanana,USA,RBY,Ruby,USA,243
BRW,Barrow,USA,NUI,Nuiqsut,USA,513
NUI,Nuiqsut,USA,BRW,Barrow,USA,513
RSH,Russian Mission,USA,KLG,Kalskag,USA,243
FAI,Fairbanks,USA,TAL,Tanana,USA,243
SCC,Prudhoe Bay/Deadhorse,USA,BTI,Barter Island,USA,513
TAL,Tanana,USA,FAI,Fairbanks,USA,243
AIN,Wainwright,USA,PIZ,Point Lay,USA,243
AKP,Anaktuvuk Pass,USA,FAI,Fairbanks,USA,153
