id,label,country,Lat ,Lon
BIN,Bamyan,Afghanistan,34.8,67.816667
BST,Lashkar Gah,Afghanistan,31.58299802,64.35999955
CCN,Chaghcharan,Afghanistan,34.5167011,65.25000063
DAZ,Darwaz,Afghanistan,38.466667,70.883333
FAH,Farah,Afghanistan,32.39172955,62.09681921
FBD,Faizabad,Afghanistan,26.75039431,82.17001257
GRG,Gardez,Afghanistan,33.616667,69.116667
GZI,Ghazni,Afghanistan,33.56331179,68.41782873
HEA,Herat,Afghanistan,34.33000917,62.16999304
IMZ,Nimroz,Afghanistan,31.1,61.933333
JAA,Jalalabad,Afghanistan,34.44152692,70.43610347
KBL,Kabul,Afghanistan,34.51669029,69.18326005
KDH,Kandahar,Afghanistan,31.61002016,65.69494584
KHT,Khost,Afghanistan,33.333333,69.95
KUR,Kuran-O-Munjan,Afghanistan,38.4,71.116667
KWH,Khwahan,Afghanistan,37.883333,70.2
LQN,Qala Nau,Afghanistan,34.95,63.666667
MMZ,Maimanah,Afghanistan,35.916667,64.733333
MZR,Mazar-e Sharif,Afghanistan,36.69999371,67.10002803
OAI,Bagram,Afghanistan,34.94,69.273
OAS,Sharana,Afghanistan,33.13,68.76
OAZ,Camp Bastion,Afghanistan,31.85,64.2
SBF,Sardeh Band,Afghanistan,33.297778,68.631667
SGA,Sheghnan,Afghanistan,38.033333,71.716667
TII,Tarin Kot,Afghanistan,32.628611,65.8775
TQN,Taluqan,Afghanistan,36.5,69.5
UND,Kunduz,Afghanistan,36.65,68.883333
URZ,Uruzgan,Afghanistan,32.9,66.616667
ZAJ,Zaranj,Afghanistan,31.11200108,61.88699752
TIA,Tirana,Albania,41.32754071,19.81888301
AAE,Annaba,Algeria,36.92000612,7.759980834
ALG,Algiers,Algeria,36.7630648,3.05055253
AZR,Adrar,Algeria,27.86999005,-0.289967083
BJA,Bejaia,Algeria,36.76037762,5.070015827
BLJ,Batna,Algeria,35.56995933,6.170000365
BMW,Bordj Mokhtar,Algeria,21.133333,1.066667
BSK,Biskra,Algeria,34.85997683,5.73002722
BUJ,Ain Eddis,Algeria,35.3325,4.206389
CBH,Bechar,Algeria,31.61110537,-2.230003704
CFK,Chlef,Algeria,36.17041363,1.319960489
CZL,Constantine,Algeria,36.35998863,6.599948281
DJG,Djanet,Algeria,24.5529057,9.482252969
EBH,El Bayadh,Algeria,33.6903583,1.009953571
ELG,El Golea,Algeria,30.56662132,2.883327595
ELU,El Oued,Algeria,33.37040367,6.859984089
GHA,Ghardaia,Algeria,32.48999229,3.669997923
GJL,Jijel,Algeria,36.82199703,5.76600356
HME,Hassi Messaoud,Algeria,31.70234011,6.054451862
IAM,In Amenas,Algeria,28.051667,9.642778
INF,Newark Liberty International,Algeria,19.566667,5.75
INZ,In Salah,Algeria,27.25,2.516667
KDF,Kouba,Algeria,7.8,15.65
MQV,Mostaganem,Algeria,35.940376,0.089983885
MUW,Mascara,Algeria,35.40040895,0.14003251
MZW,Mecheria,Algeria,33.55,-0.283333
OGX,Ouargla,Algeria,31.96997235,5.340025186
ORN,Oran,Algeria,35.616667,-0.616667
QSF,Setif,Algeria,36.18002545,5.399969847
SKI,Skikda,Algeria,36.88042198,6.899981647
TAF,Tafaraoui,Algeria,35.716667,-0.716667
TEE,Tebessa,Algeria,35.41043418,8.120010537
TGR,Touggourt,Algeria,33.0999809,6.05998124
TID,Tiaret,Algeria,28.0,-2.0
TIN,Tindouf,Algeria,27.67418805,-8.147782025
TLM,Tlemcen,Algeria,34.878333,-1.315
TMR,Tamanrasset,Algeria,22.78500327,5.522804727
TMX,Timimoun,Algeria,29.23652163,0.269998737
VVZ,Illizi,Algeria,26.48335634,8.466604369
FTI,Fitiuta,American Samoa,-14.216667,-169.45
OFU,Ofu,American Samoa,-14.183333,-169.7
PPG,Pago Pago,American Samoa,-14.2766105,-170.7066451
TAV,Tau,American Samoa,-14.229167,-169.511111
ALV,Andorra La Vella H/P,Andorra,42.5,1.516667
AAZ,Ambriz,Angola,-7.85498696,13.12502803
ANL,Andulo,Angola,-11.5,16.75
BUG,Gen V Deslandes,Angola,-12.608889,13.403611
CAB,Cabinda,Angola,-5.55962319,12.18999467
CAV,Cazombo,Angola,-11.88957273,22.90003861
CBT,Catumbela,Angola,-12.483333,13.483333
CEO,Waco Kungo,Angola,-13.333333,14.5
CFF,Cafunfo,Angola,-8.766667,18.0
CNZ,Cangamba,Angola,-13.69959145,19.86001745
CTI,Cuito Cuanavale,Angola,-15.166667,19.166667
DRC,Dirico,Angola,-17.966667,20.783333
DUE,Dundo,Angola,-7.380028871,20.82998409
GGC,Lumbala,Angola,-14.116667,21.433333
GXG,Negage,Angola,-7.516667,15.833333
JMB,Jamba,Angola,-14.700278,16.083333
KNP,Capanda,Angola,-9.766944,15.450278
LAD,Luanda,Angola,-8.838286114,13.23442704
LBZ,Lukapa,Angola,-8.416667,20.75
LUO,Luena,Angola,-11.79004393,19.90001501
LZM,Luzamba,Angola,-4.966667,23.45
MEG,Malange,Angola,-9.533333,16.333333
MSZ,Namibe,Angola,-15.19004311,12.16002234
NDD,Sumbe,Angola,-11.21002765,13.8499967
NDF,Ndalatandos,Angola,-13.783333,16.716667
NGV,Ngiva,Angola,23.076111,34.374444
NOV,Huambo,Angola,-12.74998533,15.76000932
PBN,Porto Amboim,Angola,-10.7,13.75
PGI,Chitato,Angola,-7.35,20.95
